City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Kodiak,US,2021-12-28 01:49:16,57.79,-152.4072,41.76,86,62,6.22
88,Kota Kinabalu,MY,2021-12-28 01:49:17,5.9749,116.0724,82.38,78,20,0.0
89,Souillac,MU,2021-12-28 01:50:17,-20.5167,57.5167,75.58,88,40,0.0
90,Nikolskoye,RU,2021-12-28 01:50:18,59.7035,30.7861,3.4,100,89,3.58
91,Soc Trang,VN,2021-12-28 01:50:18,9.6033,105.98,78.76,74,26,8.37
92,Leningradskiy,RU,2021-12-28 01:50:18,69.3833,178.4167,-31.52,100,57,4.29
93,Nianzishan,CN,2021-12-28 01:50:19,47.5167,122.8833,-1.07,82,20,2.93
94,Bredasdorp,ZA,2021-12-28 01:50:19,-34.5322,20.0403,61.92,82,52,4.61
95,Ayia Galini,GR,2021-12-28 01:50:20,35.1,24.6833,54.84,71,36,2.89
96,Bluff,NZ,2021-12-28 01:50:20,-46.6,168.3333,59.81,67,83,17.69
97,Dingle,PH,2021-12-28 01:50:20,10.9995,122.6711,78.62,86,62,16.06
98,Qandala,SO,2021-12-28 01:50:21,11.472,49.8728,72.93,79,58,2.24
99,Faya,SA,2021-12-28 01:50:21,18.3851,42.4509,51.91,46,10,3.51
100,Klaksvik,FO,2021-12-28 01:50:22,62.2266,-6.589,41.92,91,94,7.99
101,Katsuura,JP,2021-12-28 01:50:22,35.1333,140.3,44.71,40,17,11.01
102,Barrow,US,2021-12-28 01:50:23,71.2906,-156.7887,-14.78,76,1,9.22
103,Ust-Ordynskiy,RU,2021-12-28 01:50:23,52.805,104.7508,-2.18,100,72,2.89
104,Venice,US,2021-12-28 01:50:24,27.0998,-82.4543,68.99,96,1,0.0
105,Mahanje,TZ,2021-12-28 01:50:24,-9.9333,35.3333,63.09,91,66,1.95
106,Ribeira Grande,PT,2021-12-28 01:50:24,38.5167,-28.7,65.98,89,98,36.46
107,Camana,PE,2021-12-28 01:50:25,-16.6228,-72.7111,70.79,88,53,7.23
108,Kem,RU,2021-12-28 01:50:25,64.9555,34.5793,5.86,92,48,9.57
109,Iqaluit,CA,2021-12-28 01:50:26,63.7506,-68.5145,13.73,85,90,4.61
110,Santiago Del Estero,AR,2021-12-28 01:50:26,-27.7951,-64.2615,85.8,18,97,7.58
111,Nalut,LY,2021-12-28 01:50:27,30.3333,10.85,53.26,59,22,8.66
112,Kaitangata,NZ,2021-12-28 01:50:27,-46.2817,169.8464,61.93,43,100,4.59
113,Bubaque,GW,2021-12-28 01:50:28,11.2833,-15.8333,79.88,64,26,8.34
114,Arraial Do Cabo,BR,2021-12-28 01:50:28,-22.9661,-42.0278,72.57,84,100,3.58
115,Vardo,NO,2021-12-28 01:50:29,70.3705,31.1107,25.38,60,100,9.31
116,Saint-Philippe,RE,2021-12-28 01:50:29,-21.3585,55.7679,74.75,81,76,8.79
117,Meadow Lake,US,2021-12-28 01:50:29,34.8014,-106.5436,48.97,53,100,13.4
118,Castro,BR,2021-12-28 01:50:30,-24.7911,-50.0119,63.34,74,41,4.88
119,Port Alfred,ZA,2021-12-28 01:50:30,-33.5906,26.891,66.85,87,100,17.67
120,Waverly,US,2021-12-28 01:50:30,42.7392,-84.6208,39.13,89,90,16.11
121,Norden,DE,2021-12-28 01:50:31,53.6,7.2,39.9,97,100,16.44
122,Khatanga,RU,2021-12-28 01:50:31,71.9667,102.5,-29.31,100,97,5.3
123,Manado,ID,2021-12-28 01:50:32,1.487,124.8455,79.57,89,40,3.44
124,Vilhena,BR,2021-12-28 01:50:32,-12.7406,-60.1458,75.42,88,20,2.3
125,Scarborough,GB,2021-12-28 01:46:11,54.2797,-0.4044,46.53,94,100,10.0
126,Jibuti,DJ,2021-12-28 01:50:33,11.5,42.5,68.88,81,100,12.77
127,Parkes,AU,2021-12-28 01:50:33,-33.1333,148.1833,77.4,33,20,8.9
128,Micheweni,TZ,2021-12-28 01:50:34,-4.9667,39.8333,79.88,78,78,3.2
129,Mar Del Plata,AR,2021-12-28 01:47:19,-38.0023,-57.5575,69.87,82,0,15.99
130,Carbonia,IT,2021-12-28 01:50:34,39.1672,8.5222,56.05,88,9,11.32
131,New Norfolk,AU,2021-12-28 01:50:35,-42.7826,147.0587,73.65,24,10,1.72
132,Colorado,BR,2021-12-28 01:50:35,-22.8375,-51.9731,77.04,49,46,5.88
133,Saint George,US,2021-12-28 01:49:54,37.1041,-113.5841,47.62,49,90,1.99
134,Kahului,US,2021-12-28 01:50:36,20.8947,-156.47,80.62,62,40,13.8
135,Lagoa,PT,2021-12-28 01:50:36,39.05,-27.9833,64.69,85,97,27.16
136,Rochegda,RU,2021-12-28 01:50:37,62.8,43.25,9.5,94,100,7.67
137,Tezu,IN,2021-12-28 01:51:38,27.9167,96.1667,62.89,48,98,1.45
138,Kalmunai,LK,2021-12-28 01:51:38,7.4167,81.8167,78.51,70,98,8.63
139,Sitka,US,2021-12-28 01:51:38,57.0531,-135.33,31.89,80,90,3.44
140,San Cristobal,VE,2021-12-28 01:51:39,7.7669,-72.225,69.98,96,100,2.57
141,Plettenberg Bay,ZA,2021-12-28 01:51:39,-34.0527,23.3716,62.35,92,72,6.73
142,Igarka,RU,2021-12-28 01:51:40,67.4667,86.5833,-11.42,90,6,8.7
143,Bethel,US,2021-12-28 01:51:40,41.3712,-73.414,34.84,79,90,3.44
144,Saint-Georges,GD,2021-12-28 01:51:41,12.0564,-61.7485,76.68,78,20,0.0
145,Kribi,CM,2021-12-28 01:51:41,2.95,9.9167,78.73,86,100,7.65
146,Bhadasar,IN,2021-12-28 01:51:42,28.2833,74.3167,57.36,69,94,7.72
147,Novouzensk,RU,2021-12-28 01:51:42,50.4592,48.1431,-5.94,99,40,4.5
148,Jalu,LY,2021-12-28 01:51:42,29.0331,21.5482,53.37,46,0,8.86
149,Hermanus,ZA,2021-12-28 01:51:43,-34.4187,19.2345,62.91,82,98,9.66
150,Coihaique,CL,2021-12-28 01:51:43,-45.5752,-72.0662,56.01,69,0,5.53
151,Yatou,CN,2021-12-28 01:51:44,37.15,122.3833,33.39,49,0,5.1
152,Kutum,SD,2021-12-28 01:51:44,14.2,24.6667,58.41,22,79,7.67
153,San Rafael,AR,2021-12-28 01:50:38,-34.6177,-68.3301,82.87,32,100,11.41
154,Quelimane,MZ,2021-12-28 01:51:45,-17.8786,36.8883,77.14,93,100,5.3
155,Tiksi,RU,2021-12-28 01:51:46,71.6872,128.8694,-17.14,100,100,5.66
156,Geraldton,AU,2021-12-28 01:51:46,-28.7667,114.6,104.41,9,2,17.27
157,Oktyabrskiy,RU,2021-12-28 01:51:46,54.4815,53.471,-7.24,100,89,6.29
158,Mehamn,NO,2021-12-28 01:51:47,71.0357,27.8492,22.95,74,20,10.36
159,Termini Imerese,IT,2021-12-28 01:51:47,37.9837,13.6956,60.87,74,54,6.29
160,Broken Hill,AU,2021-12-28 01:51:48,-31.95,141.4333,78.51,34,0,16.11
161,Bjornevatn,NO,2021-12-28 01:51:49,69.6672,29.9847,-1.86,84,98,4.61
162,Leo,BF,2021-12-28 01:51:49,11.1,-2.1,71.62,16,100,8.57
163,Flinders,AU,2021-12-28 01:51:50,-34.5833,150.8552,71.19,57,92,7.0
164,Touros,BR,2021-12-28 01:51:50,-5.1989,-35.4608,81.5,78,57,10.71
165,Salalah,OM,2021-12-28 01:51:50,17.0151,54.0924,69.93,55,2,4.32
166,Popondetta,PG,2021-12-28 01:51:51,-8.7537,148.2534,92.28,49,99,4.83
167,Saint-Augustin,CA,2021-12-28 01:51:51,51.226,-58.6502,31.41,82,100,11.03
168,Rudnya,RU,2021-12-28 01:51:52,54.947,31.0934,9.25,98,66,4.7
169,Kanniyakumari,IN,2021-12-28 01:51:52,8.0833,77.5667,75.45,80,45,20.24
170,Baruun-Urt,MN,2021-12-28 01:51:53,46.6806,113.2792,2.77,74,79,5.91
171,Maniitsoq,GL,2021-12-28 01:51:53,65.4167,-52.9,20.19,57,96,4.61
