City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Snezhnogorsk,RU,69.1933,33.2531,-0.22,100,96,8.93,overcast clouds
141,Meiganga,CM,6.5167,14.3,66.33,33,92,4.54,overcast clouds
142,Grass Valley,US,39.2191,-121.0611,38.26,93,90,0.0,overcast clouds
143,Kedrovyy,RU,56.1667,91.8167,9.01,93,100,4.47,overcast clouds
144,Dalvik,IS,65.9702,-18.5286,26.53,90,100,14.43,light snow
145,Kapaa,US,22.0752,-159.319,78.78,76,40,3.0,light rain
146,Lasa,IT,46.6166,10.7002,40.08,87,83,6.02,broken clouds
147,Dickinson,US,29.4608,-95.0513,77.27,91,90,1.01,overcast clouds
148,Mandera,KE,3.9366,41.867,77.27,28,39,7.96,scattered clouds
149,Matay,EG,28.419,30.7792,52.63,68,6,5.68,clear sky
150,Macae,BR,-22.3708,-41.7869,75.07,100,75,1.14,broken clouds
151,Saint-Pierre,RE,-21.3393,55.4781,76.68,80,75,21.85,broken clouds
152,Mar Del Plata,AR,-38.0023,-57.5575,69.82,100,40,3.0,mist
153,Havelock,US,34.8791,-76.9013,64.38,94,1,5.99,clear sky
154,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,40,4.61,scattered clouds
155,Vao,NC,-22.6667,167.4833,78.73,82,77,8.59,broken clouds
156,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,11.5,few clouds
157,Waddan,LY,29.1614,16.139,56.35,58,0,6.67,clear sky
158,Kolokani,ML,13.5728,-8.0339,67.12,17,5,9.22,clear sky
159,Busselton,AU,-33.65,115.3333,88.05,31,0,2.93,clear sky
160,Ifanadiana,MG,-21.3,47.6333,70.88,99,100,1.07,light rain
161,Grindavik,IS,63.8424,-22.4338,30.67,74,75,31.07,broken clouds
162,Torbat-E Jam,IR,35.244,60.6225,34.81,33,0,1.88,clear sky
163,Jumla,NP,29.2747,82.1838,33.58,97,100,2.37,moderate rain
164,Sukhumi,GE,43.0033,41.0153,47.98,67,100,3.69,overcast clouds
165,Shieli,KZ,44.1667,66.75,20.17,78,37,2.55,scattered clouds
166,Talnakh,RU,69.4865,88.3972,4.21,92,100,7.63,overcast clouds
167,Nome,US,64.5011,-165.4064,33.87,86,90,26.46,light rain
168,Touros,BR,-5.1989,-35.4608,81.5,78,78,12.44,broken clouds
169,Geraldton,AU,-28.7667,114.6,99.01,12,0,8.05,clear sky
170,Ganzhou,CN,28.8184,115.4327,44.85,71,56,1.36,broken clouds
171,Xichang,CN,27.8964,102.2634,42.6,74,3,1.12,clear sky
172,Pisco,PE,-13.7,-76.2167,69.85,88,75,9.22,broken clouds
173,Kochubey,RU,44.3861,46.5825,40.1,92,97,12.12,overcast clouds
174,Palauig,PH,15.435,119.9045,80.65,57,61,3.04,broken clouds
175,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,52,0,6.91,clear sky
176,Energetik,RU,51.7445,58.7934,-12.42,99,6,4.83,clear sky
177,Ambanja,MG,-13.6833,48.45,75.42,92,77,3.24,broken clouds
178,Tessalit,ML,20.1986,1.0114,64.33,21,94,8.59,overcast clouds
179,Monrovia,LR,6.3005,-10.7969,79.83,79,83,6.76,broken clouds
180,Tasiilaq,GL,65.6145,-37.6368,6.96,68,9,5.06,clear sky
181,Ostrovnoy,RU,68.0531,39.5131,1.11,94,19,11.79,few clouds
182,Vysokogornyy,RU,50.1167,139.15,-11.13,90,93,1.61,overcast clouds
183,Bose,IT,45.4612,8.0137,46.2,89,13,1.79,few clouds
184,Taoudenni,ML,22.6783,-3.9836,67.39,24,100,9.6,overcast clouds
185,Ribeira Grande,PT,38.5167,-28.7,62.22,80,100,25.14,overcast clouds
186,Kaminskiy,RU,57.1516,41.4732,-7.49,100,100,5.21,overcast clouds
187,Raudeberg,NO,61.9875,5.1352,39.87,81,100,11.01,overcast clouds
188,Bassano,CA,50.7834,-112.4685,1.63,89,100,13.22,overcast clouds
189,Nhulunbuy,AU,-12.2333,136.7667,86.61,66,100,17.27,overcast clouds
